# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 546927089
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     9.09%  rte-worker-2  [kernel.kallsyms]        [k] syscall_return_via_sysret
     8.15%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     7.08%  rte-worker-2  [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     4.88%  rte-worker-2  [kernel.kallsyms]        [k] try_to_wake_up
     4.48%  rte-worker-2  [kernel.kallsyms]        [k] __queue_work
     4.40%  rte-worker-2  [kernel.kallsyms]        [k] queue_work_on
     4.39%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     4.17%  rte-worker-2  [kernel.kallsyms]        [k] insert_work
     3.59%  rte-worker-2  [kernel.kallsyms]        [k] send_call_function_single_ipi
     3.46%  rte-worker-2  [kernel.kallsyms]        [k] ttwu_queue_wakelist
     3.38%  rte-worker-2  [kernel.kallsyms]        [k] __entry_text_start
     3.00%  rte-worker-2  [kernel.kallsyms]        [k] available_idle_cpu
     2.95%  rte-worker-2  [kernel.kallsyms]        [k] n_tty_write
     2.30%  rte-worker-2  libc-2.31.so             [.] __vfprintf_internal
     2.04%  rte-worker-2  [kernel.kallsyms]        [k] llist_add_batch
     1.46%  rte-worker-2  [kernel.kallsyms]        [k] tty_buffer_space_avail
     1.31%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     1.16%  swapper       [kernel.kallsyms]        [k] acpi_processor_ffh_cstate_enter
     1.08%  rte-worker-2  [kernel.kallsyms]        [k] __fget_light
     0.93%  rte-worker-2  [kernel.kallsyms]        [k] __check_object_size
     0.89%  rte-worker-2  [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     0.88%  rte-worker-2  [kernel.kallsyms]        [k] vfs_write
     0.87%  rte-worker-2  [kernel.kallsyms]        [k] file_tty_write.isra.0
     0.82%  rte-worker-2  libc-2.31.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.81%  rte-worker-2  [kernel.kallsyms]        [k] do_syscall_64
     0.75%  rte-worker-2  [kernel.kallsyms]        [k] ldsem_down_read
     0.68%  rte-worker-2  [kernel.kallsyms]        [k] mutex_lock
     0.61%  rte-worker-2  [kernel.kallsyms]        [k] __virt_addr_valid
     0.61%  rte-worker-2  libc-2.31.so             [.] __GI___libc_write
     0.60%  rte-worker-2  nflr                     [.] interval_tree_rtc
     0.60%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] common_file_perm
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] mutex_unlock
     0.57%  rte-worker-2  nflr                     [.] cuckoo_hash_rtc
     0.50%  rte-worker-2  [kernel.kallsyms]        [k] new_sync_write
     0.50%  rte-worker-2  [kernel.kallsyms]        [k] fput_many
     0.50%  rte-worker-2  [kernel.kallsyms]        [k] memcpy_erms
     0.50%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_and_push_buffer
     0.48%  rte-worker-2  [kernel.kallsyms]        [k] process_echoes
     0.47%  rte-worker-2  [kernel.kallsyms]        [k] pty_write_room
     0.47%  rte-worker-2  libc-2.31.so             [.] __printf_chk
     0.46%  rte-worker-2  [kernel.kallsyms]        [k] down_read
     0.43%  rte-worker-2  [kernel.kallsyms]        [k] _copy_from_iter
     0.39%  rte-worker-2  [kernel.kallsyms]        [k] ldsem_up_read
     0.36%  rte-worker-2  [kernel.kallsyms]        [k] __check_heap_object
     0.31%  rte-worker-2  [kernel.kallsyms]        [k] tty_write
     0.31%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_safe_stack
     0.30%  rte-worker-2  [kernel.kallsyms]        [k] llist_del_first
     0.29%  rte-worker-2  [kernel.kallsyms]        [k] __cond_resched
     0.29%  rte-worker-2  [kernel.kallsyms]        [k] __tty_buffer_request_room
     0.28%  rte-worker-2  nflr                     [.] rte_pktmbuf_free
     0.27%  rte-worker-2  [kernel.kallsyms]        [k] __lock_text_start
     0.24%  rte-worker-2  [kernel.kallsyms]        [k] rw_verify_area
     0.22%  swapper       [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.21%  swapper       [kernel.kallsyms]        [k] update_blocked_averages
     0.21%  rte-worker-2  libc-2.31.so             [.] __strchrnul_avx2
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] __smp_call_single_queue
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] __x64_sys_write
     0.20%  rte-worker-2  libc-2.31.so             [.] _IO_fflush
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] rcu_read_unlock_strict
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] apparmor_file_permission
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] mutex_trylock
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] native_tss_update_io_bitmap
     0.20%  rte-worker-2  libc-2.31.so             [.] __libc_disable_asynccancel
     0.19%  rte-worker-2  librte_hash.so.23.0      [.] __rte_hash_lookup_with_hash
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] rcu_all_qs
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_room
     0.19%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] select_task_rq_fair
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] up_read
     0.19%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] __wake_up
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_fixed_flag
     0.18%  swapper       [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     0.18%  swapper       [kernel.kallsyms]        [k] llist_reverse_order
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] mark_wake_futex
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] update_blocked_averages
     0.11%  rte-worker-2  libc-2.31.so             [.] _IO_file_write@@GLIBC_2.2.5
     0.11%  swapper       [kernel.kallsyms]        [k] perf_pmu_nop_void
     0.11%  swapper       [kernel.kallsyms]        [k] menu_select
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] __wake_up_common
     0.11%  swapper       [kernel.kallsyms]        [k] tick_nohz_next_event
     0.11%  swapper       [kernel.kallsyms]        [k] update_fast_timekeeper
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __accumulate_pelt_segments
     0.10%  swapper       [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __fdget_pos
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] sched_clock_cpu
     0.10%  swapper       [kernel.kallsyms]        [k] irq_work_run_list
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_deref
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __radix_tree_lookup
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] syscall_enter_from_user_mode
     0.10%  rte-worker-2  nflr                     [.] 0x0000000000004634
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_paranoia_check
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] iov_iter_init
     0.10%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] ksys_write
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] psi_group_change
     0.10%  swapper       [kernel.kallsyms]        [k] acpi_idle_enter
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_ref_wait
     0.10%  rte-worker-2  libc-2.31.so             [.] __mempcpy_avx_unaligned_erms
     0.10%  rte-worker-2  libc-2.31.so             [.] _itoa_word
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] remove_wait_queue
     0.10%  swapper       [kernel.kallsyms]        [k] scheduler_tick
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] aa_file_perm
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] add_wait_queue
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] get_work_pool
     0.09%  swapper       [kernel.kallsyms]        [k] iterate_groups.isra.0
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] note_gp_changes
     0.09%  swapper       [kernel.kallsyms]        [k] update_vsyscall
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.09%  swapper       [kernel.kallsyms]        [k] note_gp_changes
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] check_stack_object
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] security_file_permission
     0.09%  rte-worker-2  libc-2.31.so             [.] __memmove_avx_unaligned_erms
     0.09%  swapper       [kernel.kallsyms]        [k] perf_event_task_tick
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] radix_tree_lookup
     0.09%  swapper       [kernel.kallsyms]        [k] rcu_core_si
     0.09%  swapper       [kernel.kallsyms]        [k] native_write_msr
