# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625031758
#
# Overhead  Command       Shared Object                Symbol                          
# ........  ............  ...........................  ................................
#
    64.02%  rte-worker-2  nflr                         [.] interval_tree_rtc
     9.72%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     8.70%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     6.93%  rte-worker-2  librte_hash.so.23.0          [.] __rte_hash_lookup_with_hash
     4.02%  rte-worker-2  nflr                         [.] cuckoo_hash_rtc
     1.32%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.90%  rte-worker-2  nflr                         [.] rte_jhash
     0.81%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.76%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.76%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.46%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.39%  rte-worker-2  nflr                         [.] send_packet
     0.27%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_lookup
     0.25%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.04%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002310
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.03%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_hash
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.01%  rte-worker-2  nflr                         [.] 0x00000000000046a0
     0.01%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] _find_next_bit
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] vma_migratable
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __ptep_modify_prot_start
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.01%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] profile_tick
     0.00%  perf          [kernel.kallsyms]            [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
