# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5614088639
#
# Overhead  Command       Shared Object                Symbol                             
# ........  ............  ...........................  ...................................
#
    33.55%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    15.58%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    15.01%  rte-worker-2  nflr                         [.] interval_tree_compare
    12.64%  rte-worker-2  nflr                         [.] interval_tree_load_key
     4.42%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.62%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     3.56%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     2.76%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     2.27%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.20%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     1.20%  rte-worker-2  nflr                         [.] send_packet
     1.18%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.02%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.89%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.23%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.17%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.15%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.05%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_core
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] x86_pmu_disable
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  librte_ethdev.so.23.0        [.] rte_eth_tx_buffer_drop_callback
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.00%  perf          [kernel.kallsyms]            [k] syscall_exit_to_user_mode
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
