# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617765712
#
# Overhead  Command       Shared Object                Symbol                          
# ........  ............  ...........................  ................................
#
    26.84%  rte-worker-2  librte_hash.so.23.0          [.] __rte_hash_lookup_with_hash
    20.95%  rte-worker-2  nflr                         [.] bess_nat
    19.11%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     6.98%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     6.68%  rte-worker-2  nflr                         [.] rte_jhash
     5.27%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.14%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     3.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     2.93%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.95%  rte-worker-2  nflr                         [.] send_packet
     0.93%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_lookup_data
     0.80%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.36%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_hash
     0.29%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002314
     0.15%  rte-worker-2  nflr                         [.] 0x0000000000004754
     0.09%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002310
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_start
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] change_pte_range
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] default_send_IPI_single_phys
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cgroup_rstat_updated
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sysvec_apic_timer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_ctx_unlock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] read_tsc
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.01%  perf          [kernel.kallsyms]            [k] update_curr
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] perf_event_nmi_handler
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
