# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5616466966
#
# Overhead  Command       Shared Object                Symbol                             
# ........  ............  ...........................  ...................................
#
    25.67%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    22.48%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    10.07%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    10.01%  rte-worker-2  nflr                         [.] interval_tree_compare
     8.88%  rte-worker-2  nflr                         [.] interval_tree_load_key
     8.73%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     3.34%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     3.17%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.17%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.43%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_i_empw
     1.16%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.93%  rte-worker-2  nflr                         [.] send_packet
     0.72%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.58%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.08%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.08%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_sched_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_tss_update_io_bitmap
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] asm_sysvec_apic_timer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_nop_void
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.00%  perf          [kernel.kallsyms]            [k] kmalloc_slab
     0.00%  perf          [kernel.kallsyms]            [k] set_pte_vaddr
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
