# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5615761235
#
# Overhead  Command       Shared Object                Symbol                         
# ........  ............  ...........................  ...............................
#
    29.09%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    14.52%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    12.45%  rte-worker-2  nflr                         [.] interval_tree_load_key
    11.14%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     8.08%  rte-worker-2  nflr                         [.] interval_tree_compare
     5.01%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     4.85%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     4.07%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.18%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.97%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.43%  rte-worker-2  nflr                         [.] send_packet
     1.26%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.10%  rte-worker-2  nflr                         [.] upf_encapsulate
     1.02%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.14%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.09%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.08%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_get_next_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_tss_update_io_bitmap
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.00%  perf          [kernel.kallsyms]            [k] do_syscall_64
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
