# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5621387325
#
# Overhead  Command       Shared Object                Symbol                          
# ........  ............  ...........................  ................................
#
    36.30%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    14.33%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    14.17%  rte-worker-2  nflr                         [.] interval_tree_load_key
    13.20%  rte-worker-2  nflr                         [.] interval_tree_compare
     4.39%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     3.65%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     3.21%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.15%  rte-worker-2  nflr                         [.] send_packet
     1.79%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     1.64%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     1.46%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     1.25%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     1.02%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.23%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.11%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.05%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.05%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __cgroup_account_cputime
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_enable.part.0
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_min_vruntime
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __accumulate_pelt_segments
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __schedule
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_update_next_event
     0.00%  perf          [kernel.kallsyms]            [k] alloc_cpumask_var
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
