# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5615437629
#
# Overhead  Command       Shared Object                Symbol                            
# ........  ............  ...........................  ..................................
#
    28.41%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    13.27%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    12.01%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    11.83%  rte-worker-2  nflr                         [.] interval_tree_load_key
    11.47%  rte-worker-2  nflr                         [.] interval_tree_compare
     5.76%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     4.13%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     3.48%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.08%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.88%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.20%  rte-worker-2  nflr                         [.] send_packet
     1.05%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.77%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.75%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.21%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.11%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.08%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.05%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_program_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] lapic_next_deadline
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.00%  perf          [kernel.kallsyms]            [k] entry_SYSCALL_64_after_hwframe
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
