# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617401533
#
# Overhead  Command       Shared Object                Symbol                       
# ........  ............  ...........................  .............................
#
    25.45%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    19.54%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    12.37%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    11.25%  rte-worker-2  nflr                         [.] interval_tree_load_key
     7.48%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     6.92%  rte-worker-2  nflr                         [.] interval_tree_compare
     4.06%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     3.58%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.08%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.48%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.22%  rte-worker-2  nflr                         [.] send_packet
     1.13%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.77%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.68%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.23%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.18%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.08%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] lapic_next_deadline
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] trigger_load_balance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  librte_mbuf.so.23.0          [.] 0x00000000000024c0
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  librte_ethdev.so.23.0        [.] 0x0000000000009cd0
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irq_work_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irq_exit_rcu
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cgroup_rstat_updated
     0.00%  perf          [kernel.kallsyms]            [k] alloc_cpumask_var
     0.00%  perf          [kernel.kallsyms]            [k] set_pte_vaddr_p4d
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
