# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625996887
#
# Overhead  Command       Shared Object            Symbol                                   
# ........  ............  .......................  .........................................
#
     0.20%  rte-worker-2  nflr                     [.] HandleAMFStatusChangeSubscribeRequest
     0.20%  rte-worker-2  nflr                     [.] SendToRanUe
     0.20%  rte-worker-2  nflr                     [.] handlerUplinkNASTransport
     0.20%  rte-worker-2  nflr                     [.] SDMSubscribe
     0.20%  rte-worker-2  nflr                     [.] UpdateLocation
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.18%  rte-worker-2  nflr                     [.] ranUeFind
     0.18%  rte-worker-2  nflr                     [.] NewAMFStatusSubscription
     0.17%  rte-worker-2  nflr                     [.] Stop
     0.17%  rte-worker-2  nflr                     [.] Encode
     0.17%  rte-worker-2  nflr                     [.] GetNgapIERedirectionVoiceFallback
     0.15%  rte-worker-2  nflr                     [.] BuildIEMobilityRestrictionList
     0.15%  rte-worker-2  nflr                     [.] handleRequestedNssai
     0.15%  rte-worker-2  nflr                     [.] SDMGetSmfSelectData
     0.15%  rte-worker-2  nflr                     [.] NewTimer
     0.15%  rte-worker-2  nflr                     [.] SearchUdmSdmInstance
     0.15%  rte-worker-2  nflr                     [.] negotiateDRXParameters
     0.15%  rte-worker-2  nflr                     [.] assignLadnInfo
     0.15%  rte-worker-2  nflr                     [.] GetNgapIEMaskedIMEISV
     0.14%  rte-worker-2  nflr                     [.] BuildInitialContextSetupRequest
     0.14%  rte-worker-2  nflr                     [.] SendToRan
     0.12%  rte-worker-2  nflr                     [.] ContextSetup
     0.12%  rte-worker-2  nflr                     [.] BuildRegistrationAccept
     0.12%  rte-worker-2  nflr                     [.] SendSearchNFInstances
     0.12%  rte-worker-2  nflr                     [.] SDMGetAmData
     0.12%  rte-worker-2  nflr                     [.] getSubscribedNssai
     0.12%  rte-worker-2  nflr                     [.] SDMGetUeContextInSmfData
     0.12%  rte-worker-2  nflr                     [.] GetIPv4Uri
     0.11%  rte-worker-2  nflr                     [.] dispatchMain
     0.11%  rte-worker-2  nflr                     [.] storeLastVisitedRegisteredTAI
     0.09%  rte-worker-2  nflr                     [.] SendN2Message
     0.09%  rte-worker-2  nflr                     [.] DerivateAnKey
     0.09%  rte-worker-2  nflr                     [.] GetBearerType
     0.09%  rte-worker-2  nflr                     [.] AddAmfUeToUePool
     0.09%  rte-worker-2  nflr                     [.] AMFStatusChangeSubscribeProcedure
     0.09%  rte-worker-2  nflr                     [.] InSubscribedNssai
     0.09%  rte-worker-2  nflr                     [.] includeConfiguredNssaiCheck
     0.08%  rte-worker-2  nflr                     [.] AMPolicyControlCreate
     0.08%  rte-worker-2  nflr                     [.] UeCmRegistration
     0.08%  rte-worker-2  nflr                     [.] SDMGetSliceSelectionSubscriptionData
     0.08%  rte-worker-2  nflr                     [.] communicateWithUDM
     0.08%  rte-worker-2  nflr                     [.] AllocateRegistrationArea
     0.08%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.06%  rte-worker-2  nflr                     [.] InAllowedNssai
     0.06%  rte-worker-2  nflr                     [.] NasSendToRan
     0.06%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.06%  rte-worker-2  nflr                     [.] DerivateNH
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] update_cfs_group
     0.05%  rte-worker-2  nflr                     [.] HTTPAMFStatusChangeSubscribe
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_update
     0.03%  rte-worker-2  nflr                     [.] cuckoo_hash_second_test
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get_update_offsets_now
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.03%  rte-worker-2  nflr                     [.] StopT3560
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] read_tsc
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_rq_clock
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_fast_timekeeper
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] pvclock_gtod_notify
     0.02%  rte-worker-2  nflr                     [.] cuckoo_hash_second_hash
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] perf_swevent_start
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __hrtimer_next_event_base
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] tick_sched_do_timer
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] decay_load
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_write_msr
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     0.00%  perf          [kernel.kallsyms]        [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]        [k] native_set_fixmap
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
