# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626567013
#
# Overhead  Command       Shared Object                Symbol                                   
# ........  ............  ...........................  .........................................
#
     0.19%  rte-worker-2  nflr                         [.] SDMGetAmData
     0.19%  rte-worker-2  nflr                         [.] Dispatch
     0.18%  rte-worker-2  nflr                         [.] AddAmfUeToUePool
     0.18%  rte-worker-2  nflr                         [.] UpdateSecurityContext
     0.18%  rte-worker-2  nflr                         [.] ContextSetup
     0.17%  rte-worker-2  nflr                         [.] DerivateAnKey
     0.17%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.17%  rte-worker-2  nflr                         [.] SearchUdmSdmInstance
     0.16%  rte-worker-2  nflr                         [.] assignLadnInfo
     0.15%  rte-worker-2  nflr                         [.] SendToRan
     0.15%  rte-worker-2  nflr                         [.] SendSearchNFInstances
     0.15%  rte-worker-2  nflr                         [.] DerivateNH
     0.15%  rte-worker-2  nflr                         [.] StopT3560
     0.15%  rte-worker-2  nflr                         [.] SDMGetUeContextInSmfData
     0.15%  rte-worker-2  nflr                         [.] getSubscribedNssai
     0.15%  rte-worker-2  nflr                         [.] ranUeFind
     0.13%  rte-worker-2  nflr                         [.] handleRequestedNssai
     0.13%  rte-worker-2  nflr                         [.] AMFStatusChangeSubscribeProcedure
     0.12%  rte-worker-2  nflr                         [.] Stop
     0.12%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.12%  rte-worker-2  nflr                         [.] storeLastVisitedRegisteredTAI
     0.12%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.12%  rte-worker-2  nflr                         [.] NewAMFStatusSubscription
     0.12%  rte-worker-2  nflr                         [.] InAllowedNssai
     0.11%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.11%  rte-worker-2  nflr                         [.] NasSendToRan
     0.11%  rte-worker-2  nflr                         [.] AllocateRegistrationArea
     0.10%  rte-worker-2  nflr                         [.] NewTimer
     0.10%  rte-worker-2  nflr                         [.] BuildIEMobilityRestrictionList
     0.10%  rte-worker-2  nflr                         [.] SDMGetSmfSelectData
     0.09%  rte-worker-2  nflr                         [.] SDMSubscribe
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.09%  rte-worker-2  nflr                         [.] AMPolicyControlCreate
     0.09%  rte-worker-2  nflr                         [.] communicateWithUDM
     0.09%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.09%  rte-worker-2  nflr                         [.] HTTPAMFStatusChangeSubscribe
     0.09%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.09%  rte-worker-2  nflr                         [.] Encode
     0.09%  rte-worker-2  nflr                         [.] HandleAMFStatusChangeSubscribeRequest
     0.09%  rte-worker-2  nflr                         [.] Decode
     0.09%  rte-worker-2  nflr                         [.] BuildRegistrationAccept
     0.09%  rte-worker-2  nflr                         [.] includeConfiguredNssaiCheck
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.06%  rte-worker-2  nflr                         [.] UeCmRegistration
     0.06%  rte-worker-2  nflr                         [.] GetBearerType
     0.06%  rte-worker-2  nflr                         [.] GetIPv4Uri
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.05%  rte-worker-2  nflr                         [.] SendInitialContextSetupRequest
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.04%  rte-worker-2  nflr                         [.] SendToRanUe
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.04%  rte-worker-2  nflr                         [.] SDMGetSliceSelectionSubscriptionData
     0.04%  rte-worker-2  nflr                         [.] BuildInitialContextSetupRequest
     0.04%  rte-worker-2  nflr                         [.] GetNgapIEMaskedIMEISV
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_sched_do_timer
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.03%  rte-worker-2  nflr                         [.] SendN2Message
     0.03%  rte-worker-2  nflr                         [.] GetNgapIERedirectionVoiceFallback
     0.03%  rte-worker-2  nflr                         [.] InSubscribedNssai
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_min_vruntime
     0.03%  rte-worker-2  nflr                         [.] dispatchMain
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] reweight_entity
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_sched_handle.isra.0
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_trylock
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] trigger_load_balance
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_enable.part.0
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_disable.part.0
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __remove_hrtimer
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __softirqentry_text_start
     0.01%  perf          [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]            [k] __set_pte_vaddr
     0.00%  perf          [kernel.kallsyms]            [k] native_sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
