# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617784012
#
# Overhead  Command       Shared Object                Symbol                            
# ........  ............  ...........................  ..................................
#
    35.78%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    15.70%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    14.01%  rte-worker-2  nflr                         [.] interval_tree_compare
    13.46%  rte-worker-2  nflr                         [.] interval_tree_load_key
     3.98%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.89%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     2.65%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     2.60%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     2.00%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     1.64%  rte-worker-2  nflr                         [.] send_packet
     1.41%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.89%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.83%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.41%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.08%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] lapic_next_deadline
     0.03%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] fpregs_assert_state_consistent
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_stall_kick_kthreads
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] reweight_entity
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __remove_hrtimer
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.00%  perf          [kernel.kallsyms]            [k] check_stack_object
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
