# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5614807635
#
# Overhead  Command       Shared Object                Symbol                         
# ........  ............  ...........................  ...............................
#
    25.15%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    24.68%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     9.87%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     8.95%  rte-worker-2  nflr                         [.] interval_tree_load_key
     8.93%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     8.45%  rte-worker-2  nflr                         [.] interval_tree_compare
     3.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.27%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     2.10%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.56%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.01%  rte-worker-2  nflr                         [.] send_packet
     0.74%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.65%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.54%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.15%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.14%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.11%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] read_tsc
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_min_vruntime
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] x86_pmu_enable
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] account_user_time
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_nop_void
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] exit_to_user_mode_prepare
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __schedule
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_next_event_base
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_tss_update_io_bitmap
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irq_work_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irq
     0.00%  perf          [kernel.kallsyms]            [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]            [k] __native_set_fixmap
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
