# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5614945783
#
# Overhead  Command       Shared Object                Symbol                            
# ........  ............  ...........................  ..................................
#
    27.53%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    16.26%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    12.57%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    10.85%  rte-worker-2  nflr                         [.] interval_tree_compare
    10.69%  rte-worker-2  nflr                         [.] interval_tree_load_key
     6.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     3.89%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     3.60%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     2.27%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.91%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.05%  rte-worker-2  nflr                         [.] send_packet
     1.04%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.65%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.57%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.15%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.12%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_program_event
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_irq_return_iret
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.00%  perf          [kernel.kallsyms]            [k] entry_SYSCALL_64_after_hwframe
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
