# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5617959401
#
# Overhead  Command       Shared Object                Symbol                        
# ........  ............  ...........................  ..............................
#
    30.81%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
    20.97%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    11.55%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     9.52%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     8.12%  rte-worker-2  nflr                         [.] interval_tree_load_key
     5.28%  rte-worker-2  nflr                         [.] interval_tree_compare
     3.11%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     2.70%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.07%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.75%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_i_empw
     1.38%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.88%  rte-worker-2  nflr                         [.] send_packet
     0.59%  rte-worker-2  nflr                         [.] upf_encapsulate
     0.45%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.05%  rte-worker-2  librte_mbuf.so.23.0          [.] rte_pktmbuf_free_bulk
     0.05%  rte-worker-2  nflr                         [.] interval_tree_get_key
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.05%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timerqueue_add
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_program_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] clockevents_program_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_flush_tlb_local
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_swevent_stop
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] x86_pmu_disable
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] flush_tlb_func
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_trylock
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.00%  perf          [kernel.kallsyms]            [k] alloc_cpumask_var
     0.00%  perf          [kernel.kallsyms]            [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]            [k] sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
