# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5624031594
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    34.29%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
    33.93%  rte-worker-2  librte_hash.so.23.0          [.] __rte_hash_lookup_with_hash
     9.32%  rte-worker-2  nflr                         [.] bess_nat
     4.06%  rte-worker-2  nflr                         [.] rte_jhash
     3.96%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     3.72%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     2.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     2.23%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     2.12%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.84%  rte-worker-2  nflr                         [.] send_packet
     0.61%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.51%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_lookup_data
     0.21%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.15%  rte-worker-2  librte_hash.so.23.0          [.] rte_hash_hash
     0.13%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.12%  rte-worker-2  nflr                         [.] 0x0000000000004754
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.09%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.09%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002310
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.07%  rte-worker-2  nflr                         [.] 0x0000000000004750
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.05%  rte-worker-2  librte_hash.so.23.0          [.] 0x0000000000002314
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] acct_account_cputime
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.02%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_sched_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_account_field
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __calc_delta
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] second_overflow
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] read_tsc
     0.02%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rb_next
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] sched_clock_cpu
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] rcu_read_unlock_strict
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] change_protection
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] vma_migratable
     0.01%  rte-worker-2  ld-2.31.so                   [.] __tls_get_addr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.01%  perf          [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]            [k] __set_pte_vaddr
     0.00%  perf          [kernel.kallsyms]            [k] native_sched_clock
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
